BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,34,0.8889833,359.89032,185.89532,25.50215,0.115761936,93.99669,0.023611112,300.0,100.0,0.4050979,30.0,49,false,false
Bus-001,CITY_CENTER,35,0.8855693,359.4406,181.41733,25.510155,0.11917599,96.84617,0.024305556,300.0,100.0,0.4050979,30.0,50,false,false
Bus-001,CITY_CENTER,36,0.882653,359.27118,170.82526,25.515533,0.122092284,99.28134,0.025,300.0,100.0,0.4050979,30.0,50,false,false
Bus-001,CITY_CENTER,37,0.8803592,359.12692,154.06857,25.518202,0.1243861,101.1975,0.025694445,300.0,100.0,0.4050979,30.0,50,false,false
Bus-001,CITY_CENTER,38,0.8787631,359.01395,131.85527,25.5186,0.12598221,102.53124,0.02638889,300.0,100.0,0.4050979,21.0,50,false,true
Bus-001,CITY_CENTER,39,0.8836404,358.95038,18.925034,25.536806,0.13085952,106.60756,0.027083334,300.0,100.0,0.41336125,21.0,51,false,true
Bus-001,CITY_CENTER,40,0.8885336,359.19427,-60.315037,25.55511,0.13575272,110.69437,0.027777778,300.0,100.0,0.42095706,0.0,51,true,false
Bus-001,CITY_CENTER,41,0.8968669,359.42667,-42.220524,25.553371,0.13575272,110.69437,0.028472222,300.0,100.0,0.42095706,0.0,51,true,false
Bus-001,CITY_CENTER,42,0.90520024,359.84335,-29.554367,25.551636,0.13575272,110.69437,0.029166667,300.0,100.0,0.42095706,15.0,51,false,false
Bus-001,CITY_CENTER,43,0.8984994,361.02335,79.53892,25.587109,0.14245352,116.262535,0.029861111,300.0,100.0,0.42095706,15.0,51,false,false
Bus-001,CITY_CENTER,44,0.89193124,359.90854,154.2255,25.621334,0.14902173,121.737434,0.030555556,300.0,100.0,0.42095706,30.0,51,false,false
Bus-001,CITY_CENTER,45,0.89377934,359.6012,80.20575,25.622437,0.15086982,123.27922,0.03125,300.0,100.0,0.39734223,30.0,51,false,false
Bus-001,CITY_CENTER,46,0.89553297,359.69336,29.817524,25.623255,0.15262341,124.741806,0.031944446,300.0,100.0,0.37514403,30.0,51,false,false
Bus-001,CITY_CENTER,47,0.8970154,359.78036,-1.3775425,25.62334,0.15410583,125.977905,0.032638893,300.0,100.0,0.35245377,30.0,51,false,false
Bus-001,CITY_CENTER,48,0.8980667,359.8534,-16.740093,25.622519,0.15515712,126.85434,0.03333334,300.0,100.0,0.3277213,21.0,51,false,true
Bus-001,CITY_CENTER,49,0.9029599,359.91556,-85.1332,25.64074,0.16005032,130.93295,0.034027785,300.0,100.0,0.34388113,21.0,51,false,true
Bus-001,CITY_CENTER,50,0.90785307,360.6042,-132.86818,25.658882,0.16494352,135.00378,0.03472223,300.0,100.0,0.35842496,0.0,51,false,false
Bus-001,CITY_CENTER,51,0.90785307,361.57062,-93.00772,25.657135,0.16494352,135.00378,0.035416678,300.0,100.0,0.35842496,0.0,51,false,false
Bus-001,CITY_CENTER,52,0.90785307,361.57062,-65.1054,25.655392,0.16494352,135.00378,0.036111124,300.0,100.0,0.35842496,15.0,51,false,false
Bus-001,CITY_CENTER,53,0.8992425,361.5492,74.42622,25.706984,0.17355403,141.67046,0.03680557,300.0,100.0,0.35842496,15.0,51,false,false
Bus-001,CITY_CENTER,54,0.8903215,359.93982,172.09836,25.758564,0.18247509,148.33713,0.037500016,300.0,100.0,0.35842496,30.0,51,false,false
Bus-001,CITY_CENTER,55,0.8868703,359.50745,172.3077,25.766748,0.18592629,151.21706,0.038194463,300.0,100.0,0.35842496,30.0,51,false,false
Bus-001,CITY_CENTER,56,0.88306046,359.33395,177.86932,25.77712,0.18973616,154.39783,0.03888891,300.0,100.0,0.35842496,30.0,50,false,false
Bus-001,CITY_CENTER,57,0.87907356,359.14304,184.45447,25.78866,0.19372304,157.72816,0.039583355,300.0,100.0,0.35842496,30.0,50,false,false
Bus-001,CITY_CENTER,58,0.8750778,358.94366,189.23083,25.800272,0.1977188,161.06776,0.0402778,300.0,100.0,0.35842496,21.0,50,false,true
Bus-001,CITY_CENTER,59,0.8799551,358.7661,59.050232,25.81846,0.20259611,165.14618,0.040972248,300.0,100.0,0.3713556,21.0,50,false,true
Bus-001,CITY_CENTER,60,0.88483244,359.00998,-32.026318,25.836617,0.20747343,169.22182,0.041666694,300.0,100.0,0.38299316,0.0,49,false,false
Bus-001,CITY_CENTER,61,0.88483244,359.2416,-22.418423,25.834839,0.20747343,169.22182,0.04236114,300.0,100.0,0.38299316,0.0,49,false,false
Bus-001,CITY_CENTER,62,0.88483244,359.2416,-15.692896,25.833063,0.20747343,169.22182,0.043055587,300.0,100.0,0.38299316,15.0,49,false,false
Bus-001,CITY_CENTER,63,0.87658966,359.22095,109.014984,25.884624,0.21571623,175.88849,0.043750033,300.0,100.0,0.38299316,15.0,48,false,false
Bus-001,CITY_CENTER,64,0.8687353,358.80975,194.51657,25.93459,0.22357059,182.45549,0.04444448,300.0,100.0,0.38299316,30.0,48,false,false
Bus-001,CITY_CENTER,65,0.86849284,358.43616,139.81474,25.932838,0.22381307,182.65845,0.045138925,300.0,100.0,0.38299316,30.0,47,false,false
Bus-001,CITY_CENTER,66,0.86891204,358.4257,91.554825,25.931189,0.22423226,183.00931,0.04583337,300.0,100.0,0.34888574,30.0,47,false,false
Bus-001,CITY_CENTER,67,0.86989933,358.4481,49.215153,25.930214,0.22521953,183.8356,0.046527818,300.0,100.0,0.32386988,30.0,46,false,false
